Date,Open,Low,High,Close,Volume
"Dec 02, 2016",2191.12,2188.37,2197.95,2191.95,"587,431,000"
"Dec 01, 2016",2200.17,2187.44,2202.6,2191.08,"742,047,000"
"Nov 30, 2016",2204.97,2198.81,2214.1,2198.81,"1,055,352,000"
"Nov 29, 2016",2200.76,2198.15,2210.46,2204.66,"578,283,000"
"Nov 28, 2016",2210.21,2200.36,2211.14,2201.72,"562,045,000"
"Nov 25, 2016",2206.27,2206.27,2213.35,2213.35,"261,974,000"
"Nov 23, 2016",2198.55,2194.51,2204.72,2204.72,"523,778,000"
"Nov 22, 2016",2201.56,2194.51,2204.8,2202.94,"593,601,000"
"Nov 21, 2016",2186.43,2186.43,2198.7,2198.18,"571,010,000"
"Nov 18, 2016",2186.85,2180.38,2189.89,2181.9,"670,518,000"
"Nov 17, 2016",2178.61,2176.65,2188.06,2187.12,"569,018,000"
"Nov 16, 2016",2177.53,2172.2,2179.22,2176.94,"569,327,000"
"Nov 15, 2016",2168.29,2166.38,2180.84,2180.39,"683,976,000"
"Nov 14, 2016",2165.64,2156.08,2171.36,2164.2,"798,242,000"
"Nov 11, 2016",2162.71,2152.49,2165.92,2164.45,"734,601,000"
"Nov 10, 2016",2167.49,2151.17,2182.3,2167.48,"997,868,000"
"Nov 09, 2016",2131.56,2125.35,2170.1,2163.26,"992,770,000"
"Nov 08, 2016",2129.92,2123.56,2146.87,2139.56,"556,634,000"
"Nov 07, 2016",2100.59,2100.59,2132,2131.52,"608,621,000"
"Nov 04, 2016",2083.79,2083.79,2099.07,2085.18,"624,672,000"
"Nov 03, 2016",2098.8,2085.23,2102.56,2088.66,"593,008,000"
"Nov 02, 2016",2109.43,2094,2111.76,2097.94,"641,501,000"
"Nov 01, 2016",2128.68,2097.85,2131.45,2111.72,"712,604,000"
"Oct 31, 2016",2129.78,2125.53,2133.25,2126.15,"673,263,000"
"Oct 28, 2016",2132.23,2119.36,2140.72,2126.41,"641,367,000"
"Oct 27, 2016",2144.06,2132.52,2147.13,2133.04,"614,708,000"
"Oct 26, 2016",2136.97,2131.59,2145.73,2139.43,"562,087,000"
"Oct 25, 2016",2149.72,2141.93,2151.44,2143.16,"530,792,000"
"Oct 24, 2016",2148.5,2146.91,2154.79,2151.33,"523,564,000"
"Oct 21, 2016",2139.43,2130.09,2142.63,2141.16,"654,860,000"
"Oct 20, 2016",2142.51,2133.44,2147.18,2141.34,"571,361,000"
"Oct 19, 2016",2140.81,2138.15,2148.44,2144.29,"544,371,000"
"Oct 18, 2016",2138.31,2135.49,2144.38,2139.6,"475,279,000"
"Oct 17, 2016",2132.95,2124.43,2135.61,2126.5,"479,259,000"
"Oct 14, 2016",2139.68,2132.98,2149.19,2132.98,"548,993,000"
"Oct 13, 2016",2130.26,2114.72,2138.19,2132.55,"561,305,000"
"Oct 12, 2016",2137.67,2132.77,2145.36,2139.18,"458,983,000"
"Oct 11, 2016",2161.35,2128.84,2161.56,2136.73,"576,873,000"
"Oct 10, 2016",2160.39,2160.39,2169.6,2163.66,"452,832,000"
"Oct 07, 2016",2164.19,2144.85,2165.86,2153.74,"620,211,000"
"Oct 06, 2016",2158.22,2150.28,2162.93,2160.77,"517,703,000"
"Oct 05, 2016",2155.15,2155.15,2163.95,2159.73,"599,657,000"
"Oct 04, 2016",2163.37,2144.01,2165.46,2150.49,"562,930,000"
"Oct 03, 2016",2164.33,2154.77,2164.41,2161.2,"514,417,000"
"Sep 30, 2016",2156.51,2156.51,2175.3,2168.27,"809,085,000"
"Sep 29, 2016",2168.9,2145.2,2172.67,2151.13,"616,762,000"
"Sep 28, 2016",2161.85,2151.79,2172.4,2171.37,"558,057,000"
"Sep 27, 2016",2146.04,2141.55,2161.13,2159.93,"534,092,000"
"Sep 26, 2016",2158.54,2145.04,2158.54,2146.1,"517,726,000"
"Sep 23, 2016",2173.29,2163.97,2173.75,2164.69,"520,708,000"
